"","x"
"1","Q15843"
"2","P01112"
"3","P04040"
"4","P06396"
"5","P01375"
"6","P15559"
"7","Q06830"
"8","P00167"
"9","P06732"
"10","P02741"
"11","P61626"
"12","P16083"
"13","P10145"
"14","P61769"
"15","P02144"
"16","P08263"
"17","P55957"
"18","P00709"
"19","P69905"
"20","P01344"
"21","P00915"
"22","P08758"
"23","P00918"
"24","P62937"
"25","P00441"
"26","P05413"
"27","O00762"
"28","P41159"
"29","P02788"
"30","P09211"
"31","P01031"
"32","P10636-8"
"33","P01133"
"34","P63165"
"35","P51965"
"36","P12081"
"37","P99999"
"38","P02787"
"39","P10599"
"40","P01008"
"41","P01127"
"42","P68871"
"43","P63279"
"44","O76070"
"45","P01579"
"46","P02753"
"47","P62979"
"48","P07339"
"49","P08311"
